1788107717.952,2,200,0.023557,0.002147
1788107719.511,2,200,0.024238,0.001761
1788107721.070,2,200,0.013789,0.001998
1788107722.620,2,200,0.015328,0.002227
1788107724.168,2,200,0.013192,0.001708
1788107725.713,2,200,0.014307,0.002130
1788107727.262,2,200,0.015587,0.002109
1788107728.813,2,200,0.017235,0.003359
1788107730.368,2,200,0.015584,0.001975
1788107731.929,2,200,0.025004,0.002260
1788107733.490,2,200,0.015150,0.001613
1788107735.038,2,200,0.034497,0.001844
1788107736.603,2,200,0.016946,0.002417
1788107738.151,2,200,0.015068,0.002080
1788107739.698,2,200,0.022319,0.003566
1788107741.255,2,200,0.032223,0.002800
1788107742.822,2,200,0.013208,0.001978
1788107744.363,2,200,0.015041,0.002063
1788107745.911,2,200,0.016174,0.001910
1788107747.459,2,200,0.017378,0.001680
1788107749.007,2,200,0.025690,0.002329
1788107750.564,2,200,0.021976,0.002029
1788107752.117,2,200,0.014891,0.001910
1788107753.661,2,200,0.022889,0.001579
1788107755.214,2,200,0.016344,0.002302
1788107756.762,2,200,0.013471,0.002002
1788107758.309,2,200,0.013950,0.002030
1788107759.856,2,200,0.014869,0.002248
1788107761.409,2,200,0.015375,0.001997
1788107762.967,2,200,0.017245,0.002691
1788107764.522,2,200,0.033362,0.002197
1788107766.085,2,200,0.016038,0.001926
1788107767.637,2,200,0.024230,0.002444
1788107769.196,2,200,0.021899,0.002026
1788107770.747,2,200,0.019342,0.001756
1788107772.299,2,200,0.014450,0.001859
1788107773.846,2,200,0.014211,0.001887
1788107775.391,2,200,0.014878,0.001881
1788107776.944,2,200,0.031702,0.003524
1788107778.509,2,200,0.013982,0.002244
1788107780.050,2,200,0.013670,0.001993
1788107781.594,2,200,0.015323,0.001997
1788107783.143,2,200,0.021894,0.002148
1788107784.703,2,200,0.015112,0.002788
1788107786.254,2,200,0.016241,0.002614
1788107787.808,2,200,0.014197,0.002342
1788107789.358,2,200,0.013956,0.001958
1788107790.906,2,200,0.015480,0.002669
1788107792.460,2,200,0.027551,0.002144
1788107794.023,2,200,0.022070,0.001992
1788107795.578,2,200,0.013125,0.001938
1788107797.124,2,200,0.013074,0.001972
1788107798.667,2,200,0.025267,0.002089
1788107800.224,2,200,0.015162,0.002559
1788107801.772,2,200,0.023932,0.001706
1788107803.328,2,200,0.021956,0.002271
1788107804.879,2,200,0.030064,0.002391
1788107806.443,2,200,0.024552,0.001513
1788107825.741,2,200,0.018929,0.002732
1788107827.328,2,200,0.019753,0.001772
1788107828.882,2,200,0.021919,0.002406
1788107830.439,2,200,0.014876,0.002718
1788107831.988,2,200,0.017474,0.003366
1788107833.546,2,200,0.014992,0.002173
1788107835.095,2,200,0.016068,0.002174
1788107836.644,2,200,0.020440,0.002443
1788107838.202,2,200,0.018458,0.002270
1788107839.755,2,200,0.020463,0.002338
1788107841.307,2,200,0.017381,0.002995
