LAST SEEN   TYPE      REASON                    OBJECT                                       MESSAGE
9m31s       Normal    Started                   pod/data-service-7fd57b5499-l86c5            Container started
9m31s       Normal    Created                   pod/data-service-7fd57b5499-l86c5            Container created
9m31s       Normal    Pulled                    pod/data-service-7fd57b5499-l86c5            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m31s       Normal    Pulled                    pod/data-service-7fd57b5499-7vdlk            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m31s       Normal    Started                   pod/data-service-7fd57b5499-bgwpm            Container started
9m31s       Normal    Created                   pod/data-service-7fd57b5499-7vdlk            Container created
9m31s       Normal    Created                   pod/data-service-7fd57b5499-96wsl            Container created
9m31s       Normal    Pulled                    pod/data-service-7fd57b5499-bgwpm            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m31s       Normal    Created                   pod/data-service-7fd57b5499-q6rjh            Container created
9m31s       Normal    Started                   pod/data-service-7fd57b5499-96wsl            Container started
9m31s       Normal    Pulled                    pod/data-service-7fd57b5499-q6rjh            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m31s       Normal    Pulled                    pod/data-service-7fd57b5499-96wsl            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m19s       Normal    Started                   httpchaos/error-rate-data-service-10pct      Experiment has started
9m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update desiredPhase of resource
9m19s       Normal    FinalizerInited           httpchaos/error-rate-data-service-10pct      Finalizer has been inited
9m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update finalizer of resource
9m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
9m19s       Normal    Applied                   httpchaos/error-rate-data-service-10pct      Successfully apply chaos for otel-lab/data-service-7fd57b5499-wwshb
9m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
8m12s       Warning   Unhealthy                 pod/data-service-7fd57b5499-wwshb            Liveness probe failed: Get "http://10.244.179.75:8002/health": EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    TimeUp                    httpchaos/error-rate-data-service-10pct      Time up according to the duration
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update desiredPhase of resource
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: read |0: file already closed
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: read |0: file already closed
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m19s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m19s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m18s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m18s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m18s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m18s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m15s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m15s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m15s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m15s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m14s       Warning   Failed                    podhttpchaos/data-service-7fd57b5499-wwshb   failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: read |0: file already closed
4m14s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m14s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: read |0: file already closed
4m14s       Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m14s       Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: read |0: file already closed
4m9s        Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m9s        Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m9s        Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m9s        Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m5s        Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m5s        Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
4m5s        Warning   Failed                    httpchaos/error-rate-data-service-10pct      Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
4m5s        Normal    Updated                   httpchaos/error-rate-data-service-10pct      Successfully update records of resource
2m50s       Normal    Started                   pod/data-service-7fd57b5499-wwshb            Container started
115s        Warning   FailedGetResourceMetric   horizontalpodautoscaler/service-a-hpa        failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
95s         Warning   Failed                    podhttpchaos/data-service-7fd57b5499-wwshb   failed to apply for pod otel-lab/data-service-7fd57b5499-wwshb: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
91s         Warning   Unhealthy                 pod/data-service-7fd57b5499-wwshb            Liveness probe failed: Get "http://10.244.179.75:8002/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
91s         Normal    Killing                   pod/data-service-7fd57b5499-wwshb            Container data-service failed liveness probe, will be restarted
25s         Warning   BackOff                   pod/data-service-7fd57b5499-wwshb            Back-off restarting failed container data-service in pod data-service-7fd57b5499-wwshb_otel-lab(0e7e7d39-c455-4786-9acf-6f8bb5efb251)
8s          Normal    Created                   pod/data-service-7fd57b5499-wwshb            Container created
8s          Normal    Pulled                    pod/data-service-7fd57b5499-wwshb            Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
