1788106353.044,1,200,0.039557,0.002163
1788106353.045,2,200,0.025914,0.003241
1788106353.045,3,200,0.047132,0.003773
1788106353.046,4,200,0.048302,0.003597
1788106354.612,2,200,0.036090,0.005869
1788106354.619,1,200,0.032259,0.005463
1788106354.637,3,200,0.035192,0.009800
1788106354.640,4,200,0.034627,0.009170
1788106356.208,2,200,0.015454,0.002266
1788106356.218,1,200,0.017606,0.001883
1788106356.234,4,200,0.012761,0.002041
1788106356.235,3,200,0.021948,0.002071
1788106357.756,2,200,0.015757,0.002422
1788106357.767,1,200,0.015080,0.002308
1788106357.778,4,200,0.017185,0.001886
1788106357.788,3,200,0.020156,0.001561
1788106359.309,2,200,0.016091,0.002281
1788106359.317,1,200,0.016059,0.002814
1788106359.332,4,200,0.012626,0.001813
1788106359.338,3,200,0.012169,0.001888
1788106360.857,2,200,0.017480,0.002247
1788106360.862,1,200,0.025426,0.001976
1788106360.878,4,200,0.011827,0.001786
1788106360.879,3,200,0.022655,0.001446
1788106362.410,2,200,0.015137,0.002150
1788106362.416,1,200,0.013845,0.002026
1788106362.419,4,200,0.019852,0.002673
1788106362.434,3,200,0.013244,0.001583
1788106363.960,1,200,0.027932,0.002221
1788106363.960,2,200,0.016658,0.002323
1788106363.969,4,200,0.032267,0.001688
1788106363.979,3,200,0.030747,0.002206
1788106365.513,2,200,0.019237,0.001960
1788106365.523,1,200,0.016170,0.002603
1788106365.532,4,200,0.013628,0.001896
1788106365.539,3,200,0.016085,0.001809
1788106367.064,2,200,0.017050,0.002601
1788106367.071,1,200,0.015078,0.001944
1788106367.073,4,200,0.020396,0.002615
1788106367.085,3,200,0.019045,0.001941
1788106368.618,2,200,0.014609,0.003186
1788106368.619,1,200,0.014640,0.002926
1788106368.625,4,200,0.022182,0.002040
1788106368.636,3,200,0.020668,0.001948
1788106370.172,1,200,0.013861,0.002328
1788106370.172,2,200,0.015365,0.001900
1788106370.180,4,200,0.018670,0.001702
1788106370.188,3,200,0.024283,0.002130
1788106371.719,1,200,0.015845,0.002733
1788106371.720,2,200,0.016279,0.002998
1788106371.729,4,200,0.020802,0.002098
1788106371.741,3,200,0.017567,0.001490
1788106373.272,1,200,0.013761,0.002426
1788106373.272,2,200,0.024826,0.002450
1788106373.281,4,200,0.013708,0.001890
1788106373.288,3,200,0.016707,0.001857
1788106374.824,1,200,0.015226,0.002221
1788106374.828,4,200,0.014555,0.001939
1788106374.829,2,200,0.024453,0.001731
1788106374.836,3,200,0.024296,0.001585
1788106376.379,4,200,0.023057,0.002643
1788106376.380,1,200,0.022134,0.002755
1788106376.386,2,200,0.029312,0.002413
1788106376.395,3,200,0.032931,0.001796
1788106377.937,1,200,0.029915,0.002551
1788106377.939,4,200,0.034841,0.002374
1788106377.948,2,200,0.025634,0.004569
1788106377.964,3,200,0.017469,0.002953
1788106379.501,1,200,0.026345,0.004395
1788106379.504,4,200,0.021732,0.002436
