LAST SEEN   TYPE      REASON                    OBJECT                                              MESSAGE
45m         Normal    Created                   pod/grafana-bd6f46896-6bmbg                         Container created
45m         Normal    Started                   pod/prometheus-74dc799585-plbdg                     Container started
45m         Normal    Killing                   pod/grafana-f87d67947-9dfhp                         Stopping container grafana
45m         Normal    SuccessfulDelete          replicaset/grafana-f87d67947                        Deleted pod: grafana-f87d67947-9dfhp
45m         Normal    ScalingReplicaSet         deployment/grafana                                  Scaled down replica set grafana-f87d67947 from 1 to 0
37m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
37m         Normal    FinalizerInited           networkchaos/latency-service-b-200ms                Finalizer has been inited
37m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update finalizer of resource
37m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-jb9hx          Successfully update ObservedGeneration and FailedMessage of resource
37m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-zjf2c          Successfully update ObservedGeneration and FailedMessage of resource
37m         Normal    Started                   networkchaos/latency-service-b-200ms                Experiment has started
37m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update desiredPhase of resource
37m         Normal    Applied                   networkchaos/latency-service-b-200ms                Successfully apply chaos for otel-lab/service-b-6768ff647d-jb9hx
37m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
37m         Normal    Applied                   networkchaos/latency-service-b-200ms                Successfully apply chaos for otel-lab/service-b-6768ff647d-zjf2c
37m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
32m         Normal    Recovered                 networkchaos/latency-service-b-200ms                Successfully recover chaos for otel-lab/service-b-6768ff647d-jb9hx
32m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-jb9hx          Successfully update ObservedGeneration and FailedMessage of resource
32m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
32m         Normal    Recovered                 networkchaos/latency-service-b-200ms                Successfully recover chaos for otel-lab/service-b-6768ff647d-zjf2c
32m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
32m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update records of resource
32m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update desiredPhase of resource
32m         Normal    TimeUp                    networkchaos/latency-service-b-200ms                Time up according to the duration
32m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-zjf2c          Successfully update ObservedGeneration and FailedMessage of resource
27m         Normal    Updated                   networkchaos/latency-service-b-200ms                Successfully update finalizer of resource
27m         Normal    FinalizerInited           networkchaos/latency-service-b-200ms                Finalizer has been removed
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-vc9tg                   Successfully assigned otel-lab/data-service-7fd57b5499-vc9tg to kube-w1
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-vc9tg
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-44hz8
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-qcbkr
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-mqdrp
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-qrcgs
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-xwbr6
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-8gd5p
23m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-4gmlp
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-8gd5p                   Successfully assigned otel-lab/data-service-7fd57b5499-8gd5p to kube-w1
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-4gmlp                   Successfully assigned otel-lab/data-service-7fd57b5499-4gmlp to kube-w2
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-xwbr6                   Successfully assigned otel-lab/data-service-7fd57b5499-xwbr6 to kube-w2
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-mqdrp                   Successfully assigned otel-lab/data-service-7fd57b5499-mqdrp to kube-w2
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-qrcgs                   Successfully assigned otel-lab/data-service-7fd57b5499-qrcgs to kube-w1
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-qcbkr                   Successfully assigned otel-lab/data-service-7fd57b5499-qcbkr to kube-w2
23m         Normal    Scheduled                 pod/data-service-7fd57b5499-44hz8                   Successfully assigned otel-lab/data-service-7fd57b5499-44hz8 to kube-w1
23m         Normal    Pulled                    pod/data-service-7fd57b5499-qcbkr                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-xwbr6                   Container created
23m         Normal    Pulled                    pod/data-service-7fd57b5499-44hz8                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-44hz8                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-44hz8                   Container started
23m         Normal    Pulled                    pod/data-service-7fd57b5499-vc9tg                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Pulled                    pod/data-service-7fd57b5499-4gmlp                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-4gmlp                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-4gmlp                   Container started
23m         Normal    Pulled                    pod/data-service-7fd57b5499-8gd5p                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-8gd5p                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-8gd5p                   Container started
23m         Normal    Created                   pod/data-service-7fd57b5499-vc9tg                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-vc9tg                   Container started
23m         Normal    Pulled                    pod/data-service-7fd57b5499-xwbr6                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-qcbkr                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-qcbkr                   Container started
23m         Normal    Pulled                    pod/data-service-7fd57b5499-qrcgs                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
23m         Normal    Created                   pod/data-service-7fd57b5499-qrcgs                   Container created
23m         Normal    Started                   pod/data-service-7fd57b5499-qrcgs                   Container started
23m         Normal    Started                   pod/data-service-7fd57b5499-xwbr6                   Container started
23m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
23m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update desiredPhase of resource
23m         Normal    Started                   httpchaos/error-rate-data-service-10pct             Experiment has started
23m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update finalizer of resource
23m         Normal    FinalizerInited           httpchaos/error-rate-data-service-10pct             Finalizer has been inited
23m         Normal    Applied                   httpchaos/error-rate-data-service-10pct             Successfully apply chaos for otel-lab/data-service-7fd57b5499-mqdrp
23m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
22m         Warning   Unhealthy                 pod/data-service-7fd57b5499-mqdrp                   Liveness probe failed: Get "http://10.244.58.174:8002/health": EOF
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update desiredPhase of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    TimeUp                    httpchaos/error-rate-data-service-10pct             Time up according to the duration
