1788068460.375,1,200,0.013619,0.002109
1788068460.376,2,200,0.013403,0.002250
1788068460.376,3,200,0.033767,0.002473
1788068460.377,4,200,0.025001,0.002263
1788068461.921,1,200,0.011011,0.001650
1788068461.922,2,200,0.019967,0.001450
1788068461.930,4,200,0.019362,0.001461
1788068461.936,3,200,0.022870,0.001382
1788068463.462,1,200,0.015898,0.002203
1788068463.467,2,200,0.012878,0.001559
1788068463.474,4,200,0.015264,0.001442
1788068463.484,3,200,0.009681,0.001454
1788068465.009,1,200,0.020680,0.001978
1788068465.009,2,200,0.012905,0.001923
1788068465.014,4,200,0.010277,0.001479
1788068465.017,3,200,0.015126,0.001312
1788068466.551,4,200,0.018229,0.001833
1788068466.552,2,200,0.011664,0.002281
1788068466.555,3,200,0.019714,0.002270
1788068466.556,1,200,0.011225,0.001789
1788068468.093,1,200,0.011532,0.002062
1788068468.093,2,200,0.011437,0.002020
1788068468.097,4,200,0.020927,0.001521
1788068468.099,3,200,0.027483,0.001220
1788068469.638,1,200,0.010473,0.001766
1788068469.639,2,200,0.017824,0.001892
1788068469.645,4,200,0.022707,0.001473
1788068469.649,3,200,0.027835,0.001243
1788068471.187,1,200,0.010893,0.001843
1788068471.190,2,200,0.010746,0.001854
1788068471.199,4,200,0.013364,0.001365
1788068471.205,3,200,0.009787,0.001281
1788068472.734,1,200,0.011807,0.002057
1788068472.734,2,200,0.012377,0.002311
1788068472.740,4,200,0.018050,0.001281
1788068472.741,3,200,0.019341,0.001228
1788068474.283,1,200,0.011155,0.001914
1788068474.283,2,200,0.011105,0.001880
1788068474.287,3,200,0.029831,0.001373
1788068474.287,4,200,0.020055,0.001351
1788068475.829,2,200,0.012606,0.002166
1788068475.830,1,200,0.012945,0.002297
1788068475.834,4,200,0.019341,0.002058
1788068475.847,3,200,0.009098,0.001899
1788068477.374,2,200,0.012302,0.001940
1788068477.375,1,200,0.012019,0.001897
1788068477.379,4,200,0.018590,0.001797
1788068477.381,3,200,0.015775,0.001628
1788068478.917,1,200,0.013062,0.002733
1788068478.919,2,200,0.019853,0.002074
1788068478.921,3,200,0.025777,0.001469
1788068478.922,4,200,0.013004,0.001935
1788068480.467,1,200,0.032588,0.001549
1788068480.467,2,200,0.024157,0.002631
1788068480.467,4,200,0.014975,0.002782
1788068480.520,3,200,0.031349,0.002414
1788068482.052,4,200,0.010656,0.001831
1788068482.066,2,200,0.010881,0.001503
1788068482.070,1,200,0.014082,0.001324
1788068482.083,3,200,0.009005,0.001200
1788068483.592,4,200,0.013027,0.001891
1788068483.603,2,200,0.013838,0.001536
1788068483.611,1,200,0.010825,0.001929
1788068483.614,3,200,0.015428,0.001422
1788068485.141,4,200,0.012135,0.002124
1788068485.146,2,200,0.011278,0.001314
1788068485.149,1,200,0.017055,0.001578
1788068485.153,3,200,0.020662,0.001330
1788068486.683,2,200,0.016325,0.002554
1788068486.683,4,200,0.026263,0.002605
1788068486.691,1,200,0.013563,0.001793
1788068486.698,3,200,0.019457,0.001558
1788068488.232,2,200,0.010720,0.001786
1788068488.235,1,200,0.009551,0.001487
1788068488.237,4,200,0.014277,0.001307
1788068488.241,3,200,0.010791,0.001336
1788068489.773,1,200,0.018508,0.002378
1788068489.773,2,200,0.011648,0.002219
1788068489.775,3,200,0.038034,0.002428
1788068489.777,4,200,0.030555,0.002375
1788068491.320,2,200,0.018100,0.004096
1788068491.324,1,200,0.023715,0.003775
1788068491.336,4,200,0.016131,0.001442
1788068491.345,3,200,0.019052,0.001223
1788068492.863,2,200,0.011228,0.001738
1788068492.870,1,200,0.013798,0.001392
1788068492.884,4,200,0.013617,0.001904
1788068492.886,3,200,0.018523,0.001179
1788068494.399,2,200,0.012870,0.001773
1788068494.410,1,200,0.013558,0.001378
1788068494.422,4,200,0.014555,0.001477
1788068494.430,3,200,0.009956,0.001130
1788068495.938,2,200,0.016021,0.002155
1788068495.947,1,200,0.013620,0.001563
1788068495.962,4,200,0.017740,0.001702
1788068495.963,3,200,0.009852,0.001663
