LAST SEEN   TYPE      REASON                    OBJECT                                       MESSAGE
35m         Normal    Scheduled                 pod/blackbox-exporter-56f8658cc9-2xvk9       Successfully assigned otel-lab/blackbox-exporter-56f8658cc9-2xvk9 to kube-w2
35m         Normal    SuccessfulCreate          replicaset/blackbox-exporter-56f8658cc9      Created pod: blackbox-exporter-56f8658cc9-2xvk9
35m         Normal    ScalingReplicaSet         deployment/blackbox-exporter                 Scaled up replica set blackbox-exporter-56f8658cc9 from 0 to 1
35m         Normal    SuccessfulCreate          replicaset/grafana-6dd59489c8                Created pod: grafana-6dd59489c8-7dzgk
35m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled up replica set prometheus-579b9cb5cf from 0 to 1
35m         Normal    Created                   pod/blackbox-exporter-56f8658cc9-2xvk9       Container created
35m         Normal    Pulled                    pod/blackbox-exporter-56f8658cc9-2xvk9       Successfully pulled image "192.168.0.20:30500/blackbox-exporter:v0.25.0" in 484ms (484ms including waiting). Image size: 12004758 bytes.
35m         Normal    Pulled                    pod/grafana-6dd59489c8-7dzgk                 Container image "grafana/grafana:11.1.0" already present on machine and can be accessed by the pod
35m         Normal    Created                   pod/grafana-6dd59489c8-7dzgk                 Container created
35m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled up replica set grafana-6dd59489c8 from 0 to 1
35m         Normal    Pulling                   pod/blackbox-exporter-56f8658cc9-2xvk9       Pulling image "192.168.0.20:30500/blackbox-exporter:v0.25.0"
35m         Normal    SuccessfulCreate          replicaset/prometheus-579b9cb5cf             Created pod: prometheus-579b9cb5cf-77s9w
35m         Normal    Started                   pod/prometheus-579b9cb5cf-77s9w              Container started
35m         Normal    Scheduled                 pod/prometheus-579b9cb5cf-77s9w              Successfully assigned otel-lab/prometheus-579b9cb5cf-77s9w to kube-cp
35m         Normal    Pulled                    pod/prometheus-579b9cb5cf-77s9w              Container image "prom/prometheus:v2.52.0" already present on machine and can be accessed by the pod
35m         Normal    Scheduled                 pod/grafana-6dd59489c8-7dzgk                 Successfully assigned otel-lab/grafana-6dd59489c8-7dzgk to kube-cp
35m         Normal    Started                   pod/blackbox-exporter-56f8658cc9-2xvk9       Container started
35m         Normal    Created                   pod/prometheus-579b9cb5cf-77s9w              Container created
35m         Normal    Killing                   pod/prometheus-7d9d799c5d-rd7jr              Stopping container prometheus
35m         Normal    SuccessfulDelete          replicaset/prometheus-7d9d799c5d             Deleted pod: prometheus-7d9d799c5d-rd7jr
35m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled down replica set prometheus-7d9d799c5d from 1 to 0
35m         Normal    Started                   pod/grafana-6dd59489c8-7dzgk                 Container started
35m         Normal    SuccessfulDelete          replicaset/grafana-7dfdc4cff                 Deleted pod: grafana-7dfdc4cff-7g2mh
35m         Normal    Killing                   pod/grafana-7dfdc4cff-7g2mh                  Stopping container grafana
35m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled down replica set grafana-7dfdc4cff from 1 to 0
32m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled up replica set grafana-f87d67947 from 0 to 1
32m         Normal    SuccessfulCreate          replicaset/prometheus-656f759db4             Created pod: prometheus-656f759db4-4g2rw
32m         Normal    SuccessfulCreate          replicaset/grafana-f87d67947                 Created pod: grafana-f87d67947-9dfhp
32m         Normal    Scheduled                 pod/grafana-f87d67947-9dfhp                  Successfully assigned otel-lab/grafana-f87d67947-9dfhp to kube-cp
32m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled up replica set prometheus-656f759db4 from 0 to 1
32m         Normal    Scheduled                 pod/prometheus-656f759db4-4g2rw              Successfully assigned otel-lab/prometheus-656f759db4-4g2rw to kube-w1
32m         Normal    Created                   pod/grafana-f87d67947-9dfhp                  Container created
32m         Normal    Pulled                    pod/grafana-f87d67947-9dfhp                  Container image "grafana/grafana:11.1.0" already present on machine and can be accessed by the pod
32m         Normal    Killing                   pod/prometheus-579b9cb5cf-77s9w              Stopping container prometheus
32m         Normal    Started                   pod/prometheus-656f759db4-4g2rw              Container started
32m         Normal    Started                   pod/grafana-f87d67947-9dfhp                  Container started
32m         Normal    Pulled                    pod/prometheus-656f759db4-4g2rw              Container image "prom/prometheus:v2.52.0" already present on machine and can be accessed by the pod
32m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled down replica set prometheus-579b9cb5cf from 1 to 0
32m         Normal    SuccessfulDelete          replicaset/prometheus-579b9cb5cf             Deleted pod: prometheus-579b9cb5cf-77s9w
32m         Normal    Created                   pod/prometheus-656f759db4-4g2rw              Container created
32m         Normal    SuccessfulDelete          replicaset/grafana-6dd59489c8                Deleted pod: grafana-6dd59489c8-7dzgk
32m         Normal    Killing                   pod/grafana-6dd59489c8-7dzgk                 Stopping container grafana
32m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled down replica set grafana-6dd59489c8 from 1 to 0
31m         Normal    SuccessfulCreate          replicaset/grafana-bd6f46896                 Created pod: grafana-bd6f46896-6bmbg
31m         Normal    Scheduled                 pod/prometheus-74dc799585-plbdg              Successfully assigned otel-lab/prometheus-74dc799585-plbdg to kube-cp
31m         Normal    SuccessfulCreate          replicaset/prometheus-74dc799585             Created pod: prometheus-74dc799585-plbdg
31m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled up replica set prometheus-74dc799585 from 0 to 1
31m         Normal    Scheduled                 pod/grafana-bd6f46896-6bmbg                  Successfully assigned otel-lab/grafana-bd6f46896-6bmbg to kube-cp
31m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled up replica set grafana-bd6f46896 from 0 to 1
31m         Normal    Started                   pod/prometheus-74dc799585-plbdg              Container started
